x,y,z,particle_type,experiment,fold
4338.644,1822.464,455.595,thyroglobulin,TS_5_4,0
1310.154,4513.909,442.042,thyroglobulin,TS_5_4,0
1585.642,3326.048,517.486,thyroglobulin,TS_5_4,0
2293.097,1869.88,555.296,thyroglobulin,TS_5_4,0
3469.929,3753.49,782.101,thyroglobulin,TS_5_4,0
2439.53,3199.849,797.353,thyroglobulin,TS_5_4,0
3088.296,2349.548,839.11,thyroglobulin,TS_5_4,0
756.786,3307.765,923.717,thyroglobulin,TS_5_4,0
3095.628,5843.591,947.596,thyroglobulin,TS_5_4,0
2273.228,1492.983,949.712,thyroglobulin,TS_5_4,0
5121.456,5468.983,1005.202,thyroglobulin,TS_5_4,0
474.398,3091.932,1076.289,thyroglobulin,TS_5_4,0
1541.559,5808.044,1379.853,thyroglobulin,TS_5_4,0
441.346,2266.635,835.865,thyroglobulin,TS_5_4,0
873.75,2086.875,1055.312,thyroglobulin,TS_5_4,0
2405.172,6025.0,563.966,thyroglobulin,TS_5_4,0
1990.0,5790.0,870.0,thyroglobulin,TS_5_4,0
3087.172,5274.276,700.759,thyroglobulin,TS_5_4,0
2917.805,3958.293,730.732,thyroglobulin,TS_5_4,0
3419.647,2830.627,459.333,thyroglobulin,TS_5_4,0
5090.0,573.478,122.174,thyroglobulin,TS_5_4,0
2175.491,3100.549,452.861,thyroglobulin,TS_5_4,0
2335.068,4957.432,703.716,thyroglobulin,TS_5_4,0
2752.287,5760.574,881.249,thyroglobulin,TS_5_4,0
2613.583,2253.208,884.042,thyroglobulin,TS_5_4,0
534.129,1666.452,1038.0,thyroglobulin,TS_5_4,0
626.933,1151.091,637.139,virus-like-particle,TS_5_4,0
1480.552,1278.98,820.227,virus-like-particle,TS_5_4,0
1251.324,5451.893,735.631,virus-like-particle,TS_5_4,0
117.204,5393.268,923.733,virus-like-particle,TS_5_4,0
672.259,3039.65,711.322,virus-like-particle,TS_5_4,0
2620.699,3741.685,865.897,virus-like-particle,TS_5_4,0
2636.539,4214.98,965.41,virus-like-particle,TS_5_4,0
3137.396,3572.46,372.914,virus-like-particle,TS_5_4,0
3294.133,3027.464,674.07,virus-like-particle,TS_5_4,0
2997.686,4948.218,1169.375,virus-like-particle,TS_5_4,0
3435.851,6177.824,1016.473,virus-like-particle,TS_5_4,0
468.514,5915.906,604.167,apo-ferritin,TS_5_4,0
5674.694,1114.354,565.068,apo-ferritin,TS_5_4,0
5744.509,1049.172,653.712,apo-ferritin,TS_5_4,0
5880.769,1125.348,579.56,apo-ferritin,TS_5_4,0
4661.667,1269.497,810.409,apo-ferritin,TS_5_4,0
4593.498,1195.874,877.982,apo-ferritin,TS_5_4,0
4569.735,1249.967,735.033,apo-ferritin,TS_5_4,0
4524.726,1359.207,763.445,apo-ferritin,TS_5_4,0
1072.449,2963.265,384.014,apo-ferritin,TS_5_4,0
1068.182,3024.848,515.628,apo-ferritin,TS_5_4,0
995.294,3029.412,407.899,apo-ferritin,TS_5_4,0
969.749,3086.695,557.95,apo-ferritin,TS_5_4,0
1088.28,3115.16,609.8,apo-ferritin,TS_5_4,0
1130.0,3130.0,795.0,apo-ferritin,TS_5_4,0
891.818,2977.273,510.606,apo-ferritin,TS_5_4,0
924.121,3210.767,736.134,apo-ferritin,TS_5_4,0
1663.767,3311.767,1051.7,apo-ferritin,TS_5_4,0
5870.268,5131.104,76.321,apo-ferritin,TS_5_4,0
4807.948,4949.03,1039.478,apo-ferritin,TS_5_4,0
4837.967,5049.35,1030.081,apo-ferritin,TS_5_4,0
4714.452,5064.976,1077.238,apo-ferritin,TS_5_4,0
5062.45,5082.947,1205.927,apo-ferritin,TS_5_4,0
4829.392,4473.384,208.707,apo-ferritin,TS_5_4,0
3684.954,4537.92,639.235,apo-ferritin,TS_5_4,0
3738.736,4124.944,1182.974,apo-ferritin,TS_5_4,0
2682.13,3630.154,642.963,apo-ferritin,TS_5_4,0
2801.725,1630.415,204.473,apo-ferritin,TS_5_4,0
2504.12,2311.852,267.454,apo-ferritin,TS_5_4,0
2499.282,2197.394,298.989,apo-ferritin,TS_5_4,0
2626.828,2295.534,254.337,apo-ferritin,TS_5_4,0
2552.162,2711.815,416.023,apo-ferritin,TS_5_4,0
609.824,4421.479,678.38,apo-ferritin,TS_5_4,0
521.952,4275.286,650.429,apo-ferritin,TS_5_4,0
612.529,4271.092,494.828,apo-ferritin,TS_5_4,0
4657.21,5130.873,989.265,apo-ferritin,TS_5_4,0
1151.918,3210.74,696.075,apo-ferritin,TS_5_4,0
1038.494,3201.114,695.662,apo-ferritin,TS_5_4,0
1059.84,3172.472,836.249,apo-ferritin,TS_5_4,0
1066.853,3207.492,585.938,apo-ferritin,TS_5_4,0
2340.306,2283.227,345.429,apo-ferritin,TS_5_4,0
2349.924,2329.502,485.604,apo-ferritin,TS_5_4,0
3779.642,4198.01,1296.612,apo-ferritin,TS_5_4,0
611.797,4393.753,515.641,apo-ferritin,TS_5_4,0
557.665,4367.989,605.753,apo-ferritin,TS_5_4,0
5715.014,4998.216,115.143,apo-ferritin,TS_5_4,0
5748.253,5115.846,108.033,apo-ferritin,TS_5_4,0
320.256,5482.051,1088.205,beta-amylase,TS_86_3,1
4290.0,2290.0,1050.0,beta-amylase,TS_86_3,1
4268.588,1190.235,706.118,beta-amylase,TS_86_3,1
3693.165,1512.658,849.62,beta-amylase,TS_86_3,1
4384.167,445.833,1119.167,beta-amylase,TS_86_3,1
5437.751,1527.337,824.201,beta-amylase,TS_86_3,1
5509.412,4910.588,701.569,beta-amylase,TS_86_3,1
2247.754,378.116,1050.217,beta-amylase,TS_86_3,1
1188.393,2327.798,696.845,beta-amylase,TS_86_3,1
348.342,3368.995,520.0,beta-galactosidase,TS_86_3,1
3111.559,1404.395,597.264,beta-galactosidase,TS_86_3,1
5128.266,4932.229,585.512,beta-galactosidase,TS_86_3,1
3984.278,423.056,725.944,beta-galactosidase,TS_86_3,1
2763.251,3038.958,855.062,beta-galactosidase,TS_86_3,1
4073.83,3599.172,1070.207,beta-galactosidase,TS_86_3,1
4463.183,1681.903,1096.54,beta-galactosidase,TS_86_3,1
1304.049,2964.441,1180.928,beta-galactosidase,TS_86_3,1
5695.682,831.818,827.273,beta-galactosidase,TS_86_3,1
2369.583,5805.208,949.167,beta-galactosidase,TS_86_3,1
1808.132,5982.125,1006.52,beta-galactosidase,TS_86_3,1
1549.167,3946.437,574.713,beta-galactosidase,TS_86_3,1
4913.909,2197.738,878.413,beta-galactosidase,TS_86_3,1
565.0,1044.148,1032.481,beta-galactosidase,TS_86_3,1
1908.833,229.833,948.167,beta-galactosidase,TS_86_3,1
2474.59,4055.164,488.224,beta-galactosidase,TS_86_3,1
4085.02,1689.352,644.332,beta-galactosidase,TS_86_3,1
2511.429,480.0,807.619,beta-galactosidase,TS_86_3,1
4450.0,1356.667,876.667,beta-galactosidase,TS_86_3,1
2000.686,1232.08,923.473,beta-galactosidase,TS_86_3,1
3552.92,3973.993,1034.795,beta-galactosidase,TS_86_3,1
5021.325,3944.498,1080.0,beta-galactosidase,TS_86_3,1
2745.385,872.86,1044.339,beta-galactosidase,TS_86_3,1
4662.299,5907.258,945.084,ribosome,TS_86_3,1
4504.116,5758.297,1102.158,ribosome,TS_86_3,1
4462.021,6207.162,999.208,ribosome,TS_86_3,1
4777.299,6156.435,1063.849,ribosome,TS_86_3,1
4666.205,5215.513,747.842,ribosome,TS_86_3,1
4438.999,4935.4,788.27,ribosome,TS_86_3,1
5252.162,4295.573,849.171,ribosome,TS_86_3,1
5689.451,4321.102,893.643,ribosome,TS_86_3,1
6095.703,4218.054,560.215,ribosome,TS_86_3,1
4798.895,4427.67,644.16,ribosome,TS_86_3,1
4790.113,4162.789,708.444,ribosome,TS_86_3,1
4327.26,4594.434,562.929,ribosome,TS_86_3,1
4530.23,4362.667,507.066,ribosome,TS_86_3,1
4685.378,4744.749,747.362,ribosome,TS_86_3,1
4546.785,4603.197,1000.327,ribosome,TS_86_3,1
5815.688,5910.474,1112.865,ribosome,TS_86_3,1
3558.463,2113.569,1179.779,ribosome,TS_86_3,1
2024.391,3063.731,968.932,ribosome,TS_86_3,1
1917.914,2905.379,1174.505,ribosome,TS_86_3,1
1649.253,2893.382,1100.787,ribosome,TS_86_3,1
1665.413,3181.988,1083.413,ribosome,TS_86_3,1
1563.059,6022.91,504.966,ribosome,TS_86_3,1
1217.9,3972.649,1086.719,ribosome,TS_86_3,1
1352.382,4356.122,751.612,ribosome,TS_86_3,1
1213.789,4280.218,1050.137,ribosome,TS_86_3,1
1444.336,4663.022,1049.317,ribosome,TS_86_3,1
1974.574,4645.358,1227.115,ribosome,TS_86_3,1
1764.31,4357.96,1082.894,ribosome,TS_86_3,1
1677.802,4682.915,728.72,ribosome,TS_86_3,1
615.248,5884.541,961.487,ribosome,TS_86_3,1
253.933,5845.176,596.784,ribosome,TS_86_3,1
238.655,5198.089,1175.451,ribosome,TS_86_3,1
571.25,4918.854,1019.915,ribosome,TS_86_3,1
536.338,5199.648,1025.404,ribosome,TS_86_3,1
559.463,4480.427,1114.371,ribosome,TS_86_3,1
420.204,4238.479,1147.024,ribosome,TS_86_3,1
92.928,4298.622,1089.994,ribosome,TS_86_3,1
5020.213,4244.872,791.973,ribosome,TS_86_3,1
1452.097,5112.11,1022.865,ribosome,TS_86_3,1
4438.741,4920.707,515.641,ribosome,TS_86_3,1
4518.449,4937.775,1036.288,ribosome,TS_86_3,1
4565.882,4348.095,775.964,ribosome,TS_86_3,1
5572.189,4125.515,785.977,ribosome,TS_86_3,1
5818.377,4480.871,856.064,ribosome,TS_86_3,1
5938.142,4347.523,1016.263,ribosome,TS_86_3,1
5416.05,4499.133,856.064,ribosome,TS_86_3,1
5931.509,4108.851,866.076,ribosome,TS_86_3,1
1959.59,4591.854,903.764,ribosome,TS_86_3,1
1358.159,4893.146,936.164,ribosome,TS_86_3,1
1285.497,4093.274,632.591,ribosome,TS_86_3,1
1297.423,4036.911,866.076,ribosome,TS_86_3,1
1633.782,4376.815,745.927,ribosome,TS_86_3,1
616.559,5883.402,685.852,ribosome,TS_86_3,1
513.851,5639.86,836.039,ribosome,TS_86_3,1
4341.534,4578.56,816.014,ribosome,TS_86_3,1
3491.458,1964.375,301.542,thyroglobulin,TS_86_3,1
1059.895,338.01,466.754,thyroglobulin,TS_86_3,1
5583.535,5055.373,522.266,thyroglobulin,TS_86_3,1
3753.362,3195.014,497.106,thyroglobulin,TS_86_3,1
4845.469,5984.182,512.044,thyroglobulin,TS_86_3,1
3528.827,6079.586,566.737,thyroglobulin,TS_86_3,1
4527.884,512.538,643.163,thyroglobulin,TS_86_3,1
5107.291,5147.205,654.024,thyroglobulin,TS_86_3,1
4062.524,5536.16,724.915,thyroglobulin,TS_86_3,1
4426.324,5717.765,731.724,thyroglobulin,TS_86_3,1
381.507,338.051,836.647,thyroglobulin,TS_86_3,1
4184.942,666.409,809.653,thyroglobulin,TS_86_3,1
1339.037,3068.829,802.446,thyroglobulin,TS_86_3,1
2420.207,148.637,863.583,thyroglobulin,TS_86_3,1
4547.914,2728.749,949.698,thyroglobulin,TS_86_3,1
1358.067,798.14,896.974,thyroglobulin,TS_86_3,1
5038.553,1656.659,993.759,thyroglobulin,TS_86_3,1
3840.899,5011.353,972.844,thyroglobulin,TS_86_3,1
4325.738,386.706,1027.049,thyroglobulin,TS_86_3,1
3082.518,2718.95,1080.23,thyroglobulin,TS_86_3,1
1856.208,5223.976,1135.201,thyroglobulin,TS_86_3,1
1212.201,2091.175,1244.156,thyroglobulin,TS_86_3,1
5353.462,5348.654,880.096,thyroglobulin,TS_86_3,1
2431.176,5760.392,683.137,thyroglobulin,TS_86_3,1
5853.226,2606.774,184.839,thyroglobulin,TS_86_3,1
3131.439,1631.365,1285.867,thyroglobulin,TS_86_3,1
4843.009,1838.761,1023.053,thyroglobulin,TS_86_3,1
3472.222,325.556,845.556,thyroglobulin,TS_86_3,1
3170.0,370.0,940.0,thyroglobulin,TS_86_3,1
2042.034,923.559,1130.339,thyroglobulin,TS_86_3,1
2640.654,2140.759,734.476,thyroglobulin,TS_86_3,1
1979.6,2052.4,692.8,thyroglobulin,TS_86_3,1
3782.069,3580.345,988.621,thyroglobulin,TS_86_3,1
394.643,2931.786,1176.786,thyroglobulin,TS_86_3,1
2799.672,5092.022,408.47,thyroglobulin,TS_86_3,1
4646.594,1023.948,467.896,thyroglobulin,TS_86_3,1
1756.142,3207.48,651.26,thyroglobulin,TS_86_3,1
2860.196,2950.392,609.216,thyroglobulin,TS_86_3,1
1544.041,3483.215,690.914,thyroglobulin,TS_86_3,1
5901.04,600.347,761.965,thyroglobulin,TS_86_3,1
4904.507,2199.128,875.641,thyroglobulin,TS_86_3,1
3333.953,3082.093,905.233,thyroglobulin,TS_86_3,1
3923.75,5790.0,952.5,thyroglobulin,TS_86_3,1
3840.601,1873.09,970.687,thyroglobulin,TS_86_3,1
5164.483,2126.724,1004.655,thyroglobulin,TS_86_3,1
154.098,4542.461,671.862,virus-like-particle,TS_86_3,1
5162.937,6250.567,783.617,virus-like-particle,TS_86_3,1
5478.422,5660.856,1001.878,virus-like-particle,TS_86_3,1
6024.374,5816.326,630.589,virus-like-particle,TS_86_3,1
5670.599,3861.008,454.412,virus-like-particle,TS_86_3,1
6097.154,3365.906,615.748,virus-like-particle,TS_86_3,1
5623.065,2769.741,432.341,virus-like-particle,TS_86_3,1
3895.295,4743.936,724.292,virus-like-particle,TS_86_3,1
3921.092,4158.7,972.267,virus-like-particle,TS_86_3,1
2720.586,4840.967,1057.297,virus-like-particle,TS_86_3,1
984.028,881.454,770.454,virus-like-particle,TS_86_3,1
796.253,1232.922,956.509,virus-like-particle,TS_86_3,1
1212.736,396.454,913.84,virus-like-particle,TS_86_3,1
1234.637,1416.69,758.009,virus-like-particle,TS_86_3,1
713.243,3300.755,729.3,virus-like-particle,TS_86_3,1
449.787,3348.949,936.699,virus-like-particle,TS_86_3,1
1024.638,2983.1,649.246,virus-like-particle,TS_86_3,1
640.315,2221.381,868.266,virus-like-particle,TS_86_3,1
3443.658,858.443,609.676,virus-like-particle,TS_86_3,1
2733.056,387.938,935.431,virus-like-particle,TS_86_3,1
3993.256,185.537,625.067,virus-like-particle,TS_86_3,1
2891.009,1717.577,755.086,virus-like-particle,TS_86_3,1
2785.126,2361.186,1008.411,virus-like-particle,TS_86_3,1
4638.201,1844.865,491.223,virus-like-particle,TS_86_3,1
4683.103,1546.998,899.626,virus-like-particle,TS_86_3,1
3563.17,2650.076,660.386,virus-like-particle,TS_86_3,1
3994.606,2797.533,839.291,virus-like-particle,TS_86_3,1
3829.926,2129.623,859.549,virus-like-particle,TS_86_3,1
1905.062,2172.381,978.064,virus-like-particle,TS_86_3,1
3870.343,4952.714,1261.6,apo-ferritin,TS_86_3,1
4130.897,5422.292,501.86,apo-ferritin,TS_86_3,1
2735.0,4668.447,520.291,apo-ferritin,TS_86_3,1
2649.615,4690.615,600.923,apo-ferritin,TS_86_3,1
2665.353,4810.641,612.019,apo-ferritin,TS_86_3,1
2957.522,4630.03,489.701,apo-ferritin,TS_86_3,1
2920.264,4718.238,659.559,apo-ferritin,TS_86_3,1
2996.667,4730.0,436.667,apo-ferritin,TS_86_3,1
2957.199,4845.319,394.858,apo-ferritin,TS_86_3,1
2858.555,4515.665,523.699,apo-ferritin,TS_86_3,1
2802.396,4464.345,937.859,apo-ferritin,TS_86_3,1
3636.645,5702.839,646.419,apo-ferritin,TS_86_3,1
349.225,4387.254,639.613,apo-ferritin,TS_86_3,1
1421.215,4837.57,473.209,apo-ferritin,TS_86_3,1
1516.687,4884.498,530.122,apo-ferritin,TS_86_3,1
1344.405,5016.071,464.077,apo-ferritin,TS_86_3,1
1615.455,5224.058,418.604,apo-ferritin,TS_86_3,1
1529.628,5302.061,442.027,apo-ferritin,TS_86_3,1
1744.252,5121.395,462.245,apo-ferritin,TS_86_3,1
1289.961,4419.807,498.842,apo-ferritin,TS_86_3,1
368.896,5304.785,611.472,apo-ferritin,TS_86_3,1
349.415,5404.185,663.938,apo-ferritin,TS_86_3,1
737.13,5657.546,451.944,apo-ferritin,TS_86_3,1
1152.315,5759.259,463.056,apo-ferritin,TS_86_3,1
1223.792,5738.917,536.083,apo-ferritin,TS_86_3,1
1111.487,5848.885,503.234,apo-ferritin,TS_86_3,1
2024.386,2430.912,928.211,apo-ferritin,TS_86_3,1
1885.083,2451.761,899.07,apo-ferritin,TS_86_3,1
1635.436,2052.785,702.483,apo-ferritin,TS_86_3,1
764.053,3009.015,780.114,apo-ferritin,TS_86_3,1
805.603,2963.582,867.943,apo-ferritin,TS_86_3,1
812.748,562.691,574.079,apo-ferritin,TS_86_3,1
2398.017,1136.609,1115.057,apo-ferritin,TS_86_3,1
2339.747,1240.886,1132.057,apo-ferritin,TS_86_3,1
2423.333,1373.903,1099.801,apo-ferritin,TS_86_3,1
1882.737,1238.321,1279.672,apo-ferritin,TS_86_3,1
2886.727,662.649,515.325,apo-ferritin,TS_86_3,1
3243.811,189.939,1204.756,apo-ferritin,TS_86_3,1
5632.418,4832.451,852.157,apo-ferritin,TS_86_3,1
5571.34,4880.069,923.814,apo-ferritin,TS_86_3,1
5786.293,5116.573,858.037,apo-ferritin,TS_86_3,1
5775.152,4995.212,878.485,apo-ferritin,TS_86_3,1
4335.3,3517.367,1224.1,apo-ferritin,TS_86_3,1
4765.574,621.401,780.112,apo-ferritin,TS_86_3,1
4728.462,597.308,964.615,apo-ferritin,TS_86_3,1
4784.136,555.39,853.254,apo-ferritin,TS_86_3,1
3028.839,2861.645,444.29,apo-ferritin,TS_86_3,1
3098.086,3170.695,1146.425,apo-ferritin,TS_86_3,1
3192.802,3247.743,1146.425,apo-ferritin,TS_86_3,1
3123.334,3157.011,1266.574,apo-ferritin,TS_86_3,1
3197.58,5525.735,1296.612,apo-ferritin,TS_86_3,1
1912.78,3850.979,1236.537,apo-ferritin,TS_86_3,1
3760.282,4956.3,1186.475,apo-ferritin,TS_86_3,1
982.232,4714.162,475.591,apo-ferritin,TS_86_3,1
996.927,4489.487,475.591,apo-ferritin,TS_86_3,1
745.902,4018.275,615.765,apo-ferritin,TS_86_3,1
375.196,4211.727,615.765,apo-ferritin,TS_86_3,1
258.592,4183.515,645.803,apo-ferritin,TS_86_3,1
2084.869,5220.131,435.541,apo-ferritin,TS_86_3,1
718.028,4094.611,565.703,apo-ferritin,TS_86_3,1
457.252,4137.12,505.628,apo-ferritin,TS_86_3,1
1361.928,5703.278,435.541,apo-ferritin,TS_86_3,1
1112.671,5943.359,455.566,apo-ferritin,TS_86_3,1
69.928,5362.53,555.691,apo-ferritin,TS_86_3,1
3824.768,5064.901,676.026,beta-amylase,TS_69_2,2
5166.324,3905.441,924.118,beta-amylase,TS_69_2,2
5123.125,5389.375,945.625,beta-amylase,TS_69_2,2
4407.778,6266.944,1228.333,beta-amylase,TS_69_2,2
350.0,1220.0,1210.0,beta-amylase,TS_69_2,2
1567.122,2131.079,687.05,beta-amylase,TS_69_2,2
1466.143,913.857,1258.714,beta-amylase,TS_69_2,2
2791.339,678.571,1164.821,beta-amylase,TS_69_2,2
4378.638,762.894,913.191,beta-amylase,TS_69_2,2
3569.083,427.11,935.688,beta-amylase,TS_69_2,2
4442.424,2286.136,669.773,beta-amylase,TS_69_2,2
4263.574,3363.976,1001.928,beta-amylase,TS_69_2,2
3124.091,2349.758,914.818,beta-galactosidase,TS_69_2,2
3104.737,116.316,893.158,beta-galactosidase,TS_69_2,2
1482.15,1976.86,809.963,beta-galactosidase,TS_69_2,2
4736.857,1633.5,1281.857,beta-galactosidase,TS_69_2,2
5440.842,2153.316,1065.263,beta-galactosidase,TS_69_2,2
5829.167,3585.0,1234.167,beta-galactosidase,TS_69_2,2
5934.359,4038.974,711.538,beta-galactosidase,TS_69_2,2
5565.034,3118.993,770.604,beta-galactosidase,TS_69_2,2
1786.416,1087.714,590.104,beta-galactosidase,TS_69_2,2
5058.789,2709.421,670.105,beta-galactosidase,TS_69_2,2
1884.097,2071.736,719.583,beta-galactosidase,TS_69_2,2
5685.556,4460.606,717.172,beta-galactosidase,TS_69_2,2
4895.506,2074.177,754.272,beta-galactosidase,TS_69_2,2
3093.723,2528.936,923.617,beta-galactosidase,TS_69_2,2
5015.0,1340.263,944.649,beta-galactosidase,TS_69_2,2
5835.63,5542.991,1125.63,beta-galactosidase,TS_69_2,2
6006.82,5328.856,808.633,ribosome,TS_69_2,2
5957.767,5571.663,706.068,ribosome,TS_69_2,2
5618.836,6161.76,693.695,ribosome,TS_69_2,2
1127.794,187.938,537.361,ribosome,TS_69_2,2
1767.82,3213.929,1001.62,ribosome,TS_69_2,2
1916.347,3426.268,1005.688,ribosome,TS_69_2,2
1171.606,3275.311,1023.63,ribosome,TS_69_2,2
1475.204,3418.907,1062.102,ribosome,TS_69_2,2
855.205,1905.764,988.053,ribosome,TS_69_2,2
1041.483,1639.013,1025.697,ribosome,TS_69_2,2
588.724,1717.082,887.573,ribosome,TS_69_2,2
1158.38,2417.84,824.652,ribosome,TS_69_2,2
3944.471,877.964,875.367,ribosome,TS_69_2,2
3800.311,509.266,1148.402,ribosome,TS_69_2,2
5080.617,763.376,705.302,ribosome,TS_69_2,2
4661.842,201.026,1140.471,ribosome,TS_69_2,2
4909.496,342.802,905.927,ribosome,TS_69_2,2
3032.898,1801.65,980.107,ribosome,TS_69_2,2
3281.41,1786.652,1039.956,ribosome,TS_69_2,2
3263.628,3307.453,718.927,ribosome,TS_69_2,2
3204.775,3028.787,664.15,ribosome,TS_69_2,2
3411.387,3674.855,1015.965,ribosome,TS_69_2,2
2957.875,3215.688,651.509,ribosome,TS_69_2,2
2988.816,2839.513,747.089,ribosome,TS_69_2,2
3759.918,3733.779,875.956,ribosome,TS_69_2,2
4064.384,3855.712,1073.271,ribosome,TS_69_2,2
4093.64,2806.907,992.895,ribosome,TS_69_2,2
4553.26,2854.694,934.778,ribosome,TS_69_2,2
4833.247,2785.558,1008.777,ribosome,TS_69_2,2
4982.25,3012.384,1141.249,ribosome,TS_69_2,2
4746.456,3247.044,989.765,ribosome,TS_69_2,2
6205.712,3190.031,1166.83,ribosome,TS_69_2,2
5678.07,3034.789,1201.75,ribosome,TS_69_2,2
5473.934,5538.159,1008.782,ribosome,TS_69_2,2
1863.411,1820.198,1074.291,ribosome,TS_69_2,2
4310.582,2600.476,966.971,ribosome,TS_69_2,2
3825.977,2568.575,1072.554,ribosome,TS_69_2,2
1697.664,2484.89,553.359,thyroglobulin,TS_69_2,2
1083.746,4336.916,660.712,thyroglobulin,TS_69_2,2
2535.083,3739.817,626.862,thyroglobulin,TS_69_2,2
719.11,2318.413,647.963,thyroglobulin,TS_69_2,2
270.918,4900.032,677.824,thyroglobulin,TS_69_2,2
5371.849,897.815,674.958,thyroglobulin,TS_69_2,2
5539.777,1677.178,752.772,thyroglobulin,TS_69_2,2
2021.719,797.706,864.533,thyroglobulin,TS_69_2,2
2367.94,978.443,867.55,thyroglobulin,TS_69_2,2
5605.799,1623.846,1155.562,thyroglobulin,TS_69_2,2
843.974,3537.848,538.51,thyroglobulin,TS_69_2,2
714.545,3129.091,673.636,thyroglobulin,TS_69_2,2
1456.572,4357.201,783.836,thyroglobulin,TS_69_2,2
4435.591,5401.685,874.624,thyroglobulin,TS_69_2,2
4315.138,4204.558,650.083,thyroglobulin,TS_69_2,2
3988.304,3924.261,623.783,thyroglobulin,TS_69_2,2
5049.901,4123.515,1092.673,thyroglobulin,TS_69_2,2
5901.79,5390.067,1034.295,thyroglobulin,TS_69_2,2
4435.398,6184.513,718.702,thyroglobulin,TS_69_2,2
4195.77,2991.516,666.993,thyroglobulin,TS_69_2,2
5720.0,1579.247,825.146,thyroglobulin,TS_69_2,2
3050.0,2350.0,810.0,thyroglobulin,TS_69_2,2
2991.25,1755.417,616.25,thyroglobulin,TS_69_2,2
3004.667,1165.667,938.333,thyroglobulin,TS_69_2,2
2035.125,145.5,1198.875,thyroglobulin,TS_69_2,2
2021.887,1799.321,698.34,thyroglobulin,TS_69_2,2
763.441,469.624,885.591,thyroglobulin,TS_69_2,2
6229.592,394.49,1286.327,thyroglobulin,TS_69_2,2
1369.833,5924.057,828.807,thyroglobulin,TS_69_2,2
785.587,2630.0,576.201,thyroglobulin,TS_69_2,2
3362.941,695.882,620.588,thyroglobulin,TS_69_2,2
